service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RINFRA-801-2_Saturday-11,0,0,0,0,0,1,0,20180915,20180915
RINFRA-801-3_Sunday-08,0,0,0,0,0,0,1,20180916,20180916
RINFRA-801-1_Weekday-90,1,1,1,1,1,0,0,20180917,20180927
RINFRA-801-1_Weekday-17,1,1,1,1,1,0,0,20180918,20180918
RINFRA-801-1_Weekday-24,1,1,1,1,1,0,0,20180919,20180919
RINFRA-801-1_Weekday-25,1,1,1,1,1,0,0,20180920,20180920
RINFRA-801-1_Weekday-91,1,1,1,1,1,0,0,20180921,20180928
RINFRA-801-2_Saturday-90,0,0,0,0,0,1,0,20180922,20180929
RINFRA-801-3_Sunday-90,0,0,0,0,0,0,1,20180923,20180923
RINFRA-804-2_Saturday-90,0,0,0,0,0,1,0,20180915,20180929
RINFRA-804-3_Sunday-18,0,0,0,0,0,0,1,20180916,20180916
RINFRA-804-1_Weekday-26,1,1,1,1,1,0,0,20180917,20180917
RINFRA-804-1_Weekday-38,1,1,1,1,1,0,0,20180918,20180920
RINFRA-804-1_Weekday-91,1,1,1,1,1,0,0,20180921,20180928
RINFRA-804-3_Sunday-90,0,0,0,0,0,0,1,20180923,20180923
RINFRA-804-1_Weekday-90,1,1,1,1,1,0,0,20180924,20180927
RINFRA-803-2_Saturday-10,0,0,0,0,0,1,0,20180915,20180915
RINFRA-803-3_Sunday-17,0,0,0,0,0,0,1,20180916,20180916
RINFRA-803-1_Weekday-35,1,1,1,1,1,0,0,20180917,20180917
RINFRA-803-1_Weekday-37,1,1,1,1,1,0,0,20180918,20180918
RINFRA-803-1_Weekday-38,1,1,1,1,1,0,0,20180919,20180919
RINFRA-803-1_Weekday-40,1,1,1,1,1,0,0,20180920,20180920
RINFRA-803-1_Weekday-34,1,1,1,1,1,0,0,20180921,20180921
RINFRA-803-2_Saturday-90,0,0,0,0,0,1,0,20180922,20180929
RINFRA-803-3_Sunday-90,0,0,0,0,0,0,1,20180923,20180923
RINFRA-803-1_Weekday-90,1,1,1,1,1,0,0,20180924,20180927
RINFRA-803-1_Weekday-91,1,1,1,1,1,0,0,20180928,20180928
RINFRA-802-2_Saturday-16,0,0,0,0,0,1,0,20180915,20180915
RINFRA-802-3_Sunday-15,0,0,0,0,0,0,1,20180916,20180916
RINFRA-802-1_Weekday-15,1,1,1,1,1,0,0,20180917,20180918
RINFRA-802-1_Weekday-27,1,1,1,1,1,0,0,20180919,20180920
RINFRA-802-1_Weekday-54,1,1,1,1,1,0,0,20180921,20180921
RINFRA-802-2_Saturday-90,0,0,0,0,0,1,0,20180922,20180929
RINFRA-802-3_Sunday-90,0,0,0,0,0,0,1,20180923,20180923
RINFRA-802-1_Weekday-90,1,1,1,1,1,0,0,20180924,20180927
RINFRA-802-1_Weekday-91,1,1,1,1,1,0,0,20180928,20180928
